Industry Group,Symbol,Symbol Name,Date,Type,Share Ratio\ Action Description,Previous Share Capital (SAR mn),Previous Issued Shares (mn),New Share Capital (SAR mn),New Issued Shares (mn),Close Price (SAR),Adjusted Close Price (SAR)
Consumer Services,1810,Seera Group Holding,03-04-2015,Bonus,1:3 / Bonus - 1 free share for every 3 shares held,1500000000,150000000,2000000000,200000000,139.88,104.91
Telecommunication Services,7030,Mobile Telecommunication Company Saudi Arabia,02-25-2015,Capital Reduction,NA / Capital Reduction by 45.96% from SAR 10.8 billion to SAR 5.84 (cancelling one share from every 2.18 shares).,10801000000,1080100000,5837291750,583729175,6.9,12.77
Insurance,8190,United Cooperative Assurance Co.,02-18-2015,Right Issue,NA / RI at SAR 10,280000000,28000000,490000000,49000000,21.61,16.63
Insurance,8250,AXA Cooperative Insurance Co.,02-10-2015,Right Issue,NA / RI at SAR 10,200000000,20000000,450000000,45000000,36.55,21.8
Insurance,8280,Al Alamiya for Cooperative Insurance Co.,01-06-2015,Right Issue,NA / RI at SAR 10,200000000,20000000,400000000,40000000,102.52,56.26
Food & Beverages,6040,Tabuk Agricultural Development Co.,01-06-2015,Right Issue,NA / RI at SAR 10,200000000,20000000,450000000,45000000,24.98,16.66
Materials,1211,Saudi Arabian Mining Co.,11-13-2014,Right Issue,NA / RI at SAR 23,9250000000,925000000,11684782610,1168478261,35.97,33.27
Food & Staples Retailing,4006,Saudi Marketing Co.,10-16-2014,Bonus,5:2 / Bonus - 2 free share for every 5 shares held,250000000,25000000,350000000,35000000,118.74,84.81
Retailing,4240,Fawaz Abdulaziz Alhokair Co.,07-14-2014,Bonus,1:1 / Bonus - 1 free share for every 1 share held,1050000000,105000000,2100000000,210000000,214.26,107.13
Consumer Services,6002,Herfy Food Services Co.,07-06-2014,Bonus,5:2 / Bonus - 2 free share for every 5 shares held,330000000,33000000,462000000,46200000,147.31,105.22
Insurance,8140,Al-Ahlia Insurance Co.,07-01-2014,Right Issue,NA / RI at SAR 10,100000000,10000000,320000000,32000000,55.28,24.15
Banks,1010,Riyad Bank,05-26-2014,Bonus,1:1 / Bonus - 1 free share for every 1 share held,15000000000,1500000000,30000000000,3000000000,36.92,18.46
Banks,1020,Bank Aljazira,05-20-2014,Bonus,3:1 / Bonus - 1 free share for every 3 shares held,3000000000,300000000,4000000000,400000000,42.5,31.88
Materials,2300,Saudi Paper Manufacturing Co.,05-04-2014,Bonus,5:1 / Bonus - 1 free share for every 5 shares held,375000000,37500000,450000000,45000000,60.59,50.49
Real Estate Mgmt & Dev't,4230,Red Sea International Co.,04-24-2014,Bonus,2:1 / Bonus - 1 free share for every 2 shares held,400000000,40000000,600000000,60000000,91.42,60.95
Pharma Biotech & Life Science,2070,Saudi Pharmaceutical Industries and Medical Appliances Corp.,04-17-2014,Bonus,17:9 / Bonus - 9 free share for every 17 shares held,784375000,78437500,1200000000,120000000,73.03,47.74
Transportation,4260,United International Transportation Co.,04-17-2014,Bonus,3:1 / Bonus - 1 free share for every 3 shares held,305000000,30500000,406666670,40666667,105.68,79.26
Banks,1050,Banque Saudi Fransi,04-16-2014,Bonus,3:1 / Bonus - 1 free share for every 3 shares held,9040178750,904017875,12053571670,1205357167,42,31.5
Consumer Services,4290,Alkhaleej Training and Education Co.,04-15-2014,Bonus,6:1 / Bonus - 1 free share for every 6 shares held,300000000,30000000,350000000,35000000,62.18,53.3
Real Estate Mgmt & Dev't,4150,Arriyadh Development Co.,04-14-2014,Bonus,3:1 / Bonus - 1 free share for every 3 shares held,1000000000,100000000,1333333330,133333333,35.36,26.52
Banks,1120,Al Rajhi Bank,04-14-2014,Bonus,12:1 / Bonus - 1 free share for every 12 shares held,15000000000,1500000000,16250000000,1625000000,72.66,67.07
Food & Staples Retailing,4001,Abdullah Al Othaim Markets Co.,04-06-2014,Bonus,1:1 / Bonus - 1 free share for every 1 share held,225000000,22500000,450000000,45000000,187,93.5
Materials,1301,United Wire Factories Co.,04-06-2014,Bonus,8:1 / Bonus - 1 free share for every 8 shares held,390000000,39000000,438750000,43875000,42,37.3
Materials,3010,Arabian Cement Co.,04-01-2014,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,800000000,80000000,1000000000,100000000,80,64
Banks,1030,Saudi Investment Bank,04-01-2014,Bonus,11:1 / Bonus - 1 free share for every 11 shares held,5500000000,550000000,6000000000,600000000,30.9,28.3
Food & Beverages,6070,Al-Jouf Agricultural Development Co.,03-24-2014,Bonus,5:1 / Bonus - 1 free share for every 5 shares held,250000000,25000000,300000000,30000000,52,43.3
Consumer Services,1810,Seera Group Holding,03-20-2014,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,1200000000,120000000,1500000000,150000000,140,112
Banks,1090,Samba Financial Group,03-20-2014,Bonus,3:1 / Bonus - 1 free share for every 3 shares held,9000000000,900000000,12000000000,1200000000,57.5,43.1
Food & Beverages,6010,National Agricultural Development Co.,03-19-2014,Bonus,6:1 / Bonus - 1 free share for every 6 shares held,600000000,60000000,700000000,70000000,37.3,32
Tadawul All Share Index (TASI),1040,Alawwal Bank,03-18-2014,Bonus,5:1 / Bonus - 1 free share for every 5 shares held,3969000000,396900000,4762800000,476280000,49.2,41
Banks,1080,Arab National Bank,03-17-2014,Bonus,17:3 / Bonus - 3 free share for every 17 shares held,8500000000,850000000,10000000000,1000000000,34.1,29
Energy,4200,Aldrees Petroleum and Transport Services Co.,03-05-2014,Bonus,3:1 / Bonus - 1 free share for every 3 shares held,300000000,30000000,400000000,40000000,54,40.5
Retailing,4190,Jarir Marketing Co.,11-27-2013,Bonus,2:1 / Bonus - 1 free share for every 2 shares held,600000000,60000000,900000000,90000000,246.75,164.5
Food & Beverages,2050,Savola Group,11-04-2013,Merger and Acquisition,NA / Acquisition,5000000000,500000000,5339806840,533980684,56.5,56.5
Food & Beverages,2280,Almarai Co.,09-09-2013,Bonus,2:1 / Bonus - 1 free share for every 2 shares held,4000000000,400000000,6000000000,600000000,82,54.75
Capital Goods,2370,Middle East Specialized Cables Co.,08-27-2013,Right Issue,NA / RI at SAR 10,400000000,40000000,600000000,60000000,17.2,14.8
Retailing,4240,Fawaz Abdulaziz Alhokair Co.,07-16-2013,Bonus,2:1 / Bonus - 1 free share for every 2 shares held,700000000,70000000,1050000000,105000000,175,116.75
Insurance,8190,United Cooperative Assurance Co.,06-26-2013,Bonus,5:2 / Bonus - 2 free shares for every 5 shares held,200000000,20000000,280000000,28000000,35.8,25.6
Insurance,8170,Al-Etihad Cooperative Insurance Co.,06-05-2013,Bonus,10:1 / Bonus - 1 free share for every 10 shares held,250000000,25000000,275000000,27500000,24.45,22.25
Insurance,8030,The Mediterranean and Gulf Insurance and Reinsurance Co.,06-02-2013,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,800000000,80000000,1000000000,100000000,27.1,21.7
Insurance,8180,Al Sagr Cooperative Insurance Co.,05-06-2013,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,200000000,20000000,250000000,25000000,34.4,27.5
Insurance,8010,The Company for Cooperative Insurance,04-22-2013,Bonus,3:1 / Bonus - 1 free share for every 3 shares held,750000000,75000000,1000000000,100000000,40.2,30.2
Consumer Services,6002,Herfy Food Services Co.,04-20-2013,Bonus,10:1 / Bonus - 1 free share for every 10 shares held,300000000,30000000,330000000,33000000,121.25,110.25
Transportation,4260,United International Transportation Co.,04-17-2013,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,244000000,24400000,305000000,30500000,66.75,53.5
Materials,1301,United Wire Factories Co.,04-10-2013,Bonus,5:1 / Bonus - 1 free share for every 5 shares held,325000000,32500000,390000000,39000000,39.7,33.1
Consumer Services,4290,Alkhaleej Training and Education Co.,04-10-2013,Bonus,5:1 / Bonus - 1 free share for every 5 shares held,250000000,25000000,300000000,30000000,39.8,33.2
Banks,1140,Bank Albilad,04-09-2013,Bonus,3:1 / Bonus - 1 free share for every 3 shares held,3000000000,300000000,4000000000,400000000,32.8,24.6
Materials,1201,Takween Advanced Industries Co.,04-08-2013,Bonus,6:1 / Bonus - 1 free share for every 6 shares held,300000000,30000000,350000000,35000000,44.4,38.1
Consumer Services,1810,Seera Group Holding,04-02-2013,Bonus,2:1 / Bonus - 1 free share for every 2 shares held,800000000,80000000,1200000000,120000000,93.75,62.5
Retailing,4003,United Electronics Co.,04-01-2013,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,240000000,24000000,300000000,30000000,122,97.5
Consumer Durables & Apparel,1213,Al Sorayai Trading and Industrial Group,04-01-2013,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,300000000,30000000,375000000,37500000,25.7,20.55
Materials,3060,Yanbu Cement Co.,03-24-2013,Bonus,2:1 / Bonus - 1 free share for every 2 shares held,1050000000,105000000,1575000000,157500000,96.75,64.5
Telecommunication Services,7020,Etihad Etisalat Co.,01-12-2013,Bonus,10:1 / Bonus - 1 free share for every 10shares held,7000000000,700000000,7700000000,770000000,79.75,72.5
Materials,2020,Saudi Arabian Fertilizer Co.,12-05-2012,Bonus,3:1 / Bonus - 1 free share for every 3 shares held,2500000000,250000000,3333333330,333333333,200,150
Food & Staples Retailing,4061,Anaam International Holding Group,11-07-2012,Right Issue,NA / RI at SAR 10,109000000,10900000,196000000,19600000,72.75,44.9
Insurance,8150,Allied Cooperative Insurance Group,09-04-2012,Right Issue,NA / RI at SAR 10,100000000,10000000,200000000,20000000,56.5,33.3
Telecommunication Services,7030,Mobile Telecommunication Company Saudi Arabia,07-04-2012,Capital Reduction,NA / Capital Reduction by 65.71% from 14 billion to 4.801 billion by reducing one share from every 1.5219 shares. Capital increase (RI) by SAR 6 billion,14000000000,1400000000,10801000000,1080100000,7.8,15.65
Materials,2200,Arabian Pipes Co.,06-11-2012,Bonus,3.7058:1 / Bonus - 1 free share for every 3.7058 shares held,315000000,31500000,400000000,40000000,27,21.25
Capital Goods,1330,Abdullah A. M. Al-Khodari Sons Co.,05-09-2012,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,425000000,42500000,531250000,53125000,50.25,40.2
Materials,2220,National Metal Manufacturing and Casting Co.,04-24-2012,Bonus,10:1 / Bonus - 1 free share for every 10 shares held,255564450,25556445,281120890,28112089,34.3,31.2
Transportation,4260,United International Transportation Co.,04-18-2012,Bonus,3:1 / Bonus - 1 free share for every 3 shares held,183000000,18300000,244000000,24400000,64,48
Real Estate Mgmt & Dev't,4230,Red Sea International Co.,04-18-2012,Bonus,3:1 / Bonus - 1 free share for every 3 shares held,300000000,30000000,400000000,40000000,49,36.8
Consumer Services,4290,Alkhaleej Training and Education Co.,04-10-2012,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,200000000,20000000,250000000,25000000,48.6,38.9
Capital Goods,2040,Saudi Ceramic Co.,04-09-2012,Bonus,2:1 / Bonus - 1 free share for every 2 shares held,250000000,25000000,375000000,37500000,158.75,105.75
Banks,1050,Banque Saudi Fransi,04-07-2012,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,7232143000,723214300,9040178750,904017875,49.6,39.7
Materials,2060,National Industrialization Co.,04-04-2012,Bonus,5:1 / Bonus - 1 free share for every 5 shares held,5574284710,557428471,6689141660,668914166,50.25,41.9
Consumer Durables & Apparel,4180,Fitaihi Holding Group,04-04-2012,Bonus,10:1 / Bonus - 1 free share for every 10 shares held,500000000,50000000,550000000,55000000,23.65,21.5
Food & Beverages,2280,Almarai Co.,04-02-2012,Bonus,1.3529:1 / Bonus - 1 free share for every 1.3529 share held,2300000000,230000000,4000000000,400000000,113,65
Health Care Equipment & Svc,4002,Mouwasat Medical Services Co.,04-02-2012,Bonus,1:1 / Bonus - 1 free share for every one share held,250000000,25000000,500000000,50000000,106,53
Materials,2300,Saudi Paper Manufacturing Co.,04-02-2012,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,300000000,30000000,375000000,37500000,47.8,38.2
Tadawul All Share Index (TASI),1040,Alawwal Bank,03-18-2012,Bonus,5:1 / Bonus - 1 free share for every 5 shares held,3307500000,330750000,3969000000,396900000,34.4,28.7
Banks,1060,Saudi British Bank,03-13-2012,Bonus,3:1 / Bonus - 1 free share for every 3 share held,7500000000,750000000,10000000000,1000000000,45.5,34.1
Energy,4200,Aldrees Petroleum and Transport Services Co.,03-10-2012,Bonus,5:1 / Bonus - 1 free share for every 5 shares held,250000000,25000000,300000000,30000000,52,43.3
Materials,3020,Yamama Cement Co.,02-26-2012,Bonus,2:1 / Bonus - 1 free share for every 2 shares held,1350000000,135000000,2025000000,202500000,83.25,55.5
Materials,2330,Advanced Petrochemical Co.,02-21-2012,Bonus,6.25:1 / Bonus - 1 free share for every 6.25 share held,1413750000,141375000,1639950000,163995000,32.2,27.8
Consumer Services,4010,Dur Hospitality Co.,02-19-2012,Bonus,2.23:1 / Bonus - 1 free share for every 2.23 share held,690060970,69006097,1000000000,100000000,37.4,25.8
Telecommunication Services,7040,Etihad Atheeb Telecommunication Co.,01-14-2012,Right Issue,NA / RI at SAR 10,400000000,40000000,1575000000,157500000,19.4,12.4
Retailing,4190,Jarir Marketing Co.,12-25-2011,Bonus,2:1 / Bonus - 1 free share for every 2 shares held,40000000,4000000,600000000,60000000,218.25,145.5
Materials,2260,Sahara Petrochemical Co.,11-29-2011,Right Issue,NA / RI at SAR 10,2925300000,292530000,4387950000,438795000,20,16.65
Insurance,8130,Alahli Takaful Co.,11-19-2011,Right Issue,NA / RI at SAR 12,100000000,10000000,166666670,16666667,110.5,71
Food & Beverages,6050,Saudi Fisheries Co.,09-14-2011,Right Issue,NA / RI at SAR 10,200000000,20000000,535375000,53537500,47.8,24.1
Telecommunication Services,7040,Etihad Atheeb Telecommunication Co.,08-06-2011,Capital Reduction,NA / CR (Reduce 6 share for every 10 shares) 60% reduction,1000000000,100000000,400000000,40000000,7.75,19.4
Consumer Services,6002,Herfy Food Services Co.,08-01-2011,Bonus,9:1 / Bonus - 1 free share for every 9 shares held,270000000,27000000,300000000,30000000,87.5,41.4
Real Estate Mgmt & Dev't,4250,Jabal Omar Development Co.,05-28-2011,Right Issue,NA / RI at SAR 10,6714000000,671400000,9294000000,929400000,16.8,14.9
Capital Goods,2320,Al-Babtain Power and Telecommunication Co.,05-11-2011,Merger and Acquisition,NA / Acquisition,40500000,4050000,42631312,4263132,28.7,28.7
Consumer Services,4290,Alkhaleej Training and Education Co.,04-16-2011,Bonus,3:1 / Bonus - 1 free share for every 3 shares held,150000000,15000000,200000000,20000000,46.7,35
Materials,2060,National Industrialization Co.,04-04-2011,Bonus,10:1 / Bonus - 1 free share for every 10 shares held,5067531550,506753155,5574284710,557428471,37.7,34.3
Insurance,8010,The Company for Cooperative Insurance,03-31-2011,Bonus,2:1 / Bonus - 1 free share for every 2 shares held,500000000,50000000,750000000,75000000,103.5,69
Banks,1080,Arab National Bank,03-27-2011,Bonus,13:4 / Bonus - 4 free share for every 13 shares held,6500000000,650000000,8500000000,850000000,46,35.2
Banks,1030,Saudi Investment Bank,03-26-2011,Bonus,4.5:1 / Bonus - 1 free share for every 4.5 shares held,4500000000,450000000,5500000000,550000000,24.6,20.15
Materials,2310,Sahara International Petrochemical Co.,03-15-2011,Bonus,10:1 / Bonus - 1 free share for every 10 shares held,3333333330,333333333,3666666660,366666666,21.85,19.85
Food & Beverages,6070,Al-Jouf Agricultural Development Co.,03-09-2011,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,200000000,20000000,250000000,25000000,36.9,29.5
Materials,3030,Saudi Cement Co.,05-18-2010,Bonus,2:1 / Bonus - 1 free share for every 2 shares held,1020000000,102000000,1530000000,153000000,74.25,49.5
Food & Beverages,2280,Almarai Co.,05-12-2010,Bonus,1:1 / Bonus - 1 free share for every 1 share held,1150000000,115000000,2300000000,230000000,219.5,109.75
Materials,2150,The National Company for Glass Industries,04-28-2010,Bonus,5:1 / Bonus - 1 free share for every 5 shares held,250000000,25000000,300000000,30000000,31.5,26.3
Materials,2060,National Industrialization Co.,04-26-2010,Bonus,10:1 / Bonus - 1 free share for every 10 shares held,4606846860,460684686,5067531550,506753155,35.1,31.9
Insurance,8040,Allianz Saudi Fransi Cooperative Insurance Co.,04-03-2010,Right Issue,NA / RI at SAR 12.5,100000000,10000000,200000000,20000000,75.75,44.1
Materials,2240,Zamil Industrial Investment Co.,03-31-2010,Bonus,3:1 / Bonus - 1 free share for every 3 shares held,450000000,45000000,600000000,60000000,67,50.25
Diversified Financials,4280,Kingdom Holding Co.,02-10-2010,Capital Reduction,NA / CR (Reduce  1 share from every 1.7 shares),63000000000,6300000000,37058823000,3705882300,7.65,13
Materials,2180,Filing and Packing Materials Manufacturing Co.,12-28-2009,Bonus,1.4864:1 / Bonus - 1 free shares for every 1.4864 share held,68750000,6875000,115000000,11500000,69.75,41.7
Pharma Biotech & Life Science,2070,Saudi Pharmaceutical Industries and Medical Appliances Corp.,12-26-2009,Right Issue,NA / RI at SAR 16,600000000,60000000,784375000,78437500,38.2,33
Materials,3040,Qassim Cement Co.,11-16-2009,Bonus,1:1 / Bonus - 1 free share for every 1 share held,450000000,45000000,900000000,90000000,141.75,71
Food & Beverages,2280,Almarai Co.,10-17-2009,Merger and Acquisition,NA / Aquire 6 million shares of Hail Agri (1 share for every 5 hail shares),1090000000,109000000,1150000000,115000000,58,58
Materials,2260,Sahara Petrochemical Co.,08-22-2009,Right Issue,NA / RI at SAR 10,1875000000,187500000,2925300000,292530000,21.1,17.1
Materials,1210,Basic Chemical Industries Co.,08-18-2009,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,220000000,22000000,275000000,27500000,37.6,30.1
Insurance,8080,SABB Takaful Co.,08-08-2009,Right Issue,NA / RI at SAR 12.5,100000000,10000000,340000000,34000000,88.5,34.9
Real Estate Mgmt & Dev't,4300,Dar Alarkan Real Estate Development Co.,07-07-2009,Bonus,2:1 / Bonus - 1 free share for every 2 shares held,7200000000,720000000,10800000000,1080000000,25.9,17.25
Retailing,4190,Jarir Marketing Co.,06-03-2009,Bonus,3:1 / Bonus - 1 free share for every 3 shares held.,300000000,30000000,400000000,40000000,177.75,133.25
Capital Goods,1310,Mohammad Al Mojil Group,05-26-2009,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,1000000000,100000000,1250000000,125000000,41.5,33.2
Materials,2220,National Metal Manufacturing and Casting Co.,04-26-2009,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,204451560,20445156,255564450,25556445,29.4,23.5
Banks,1050,Banque Saudi Fransi,04-06-2009,Bonus,7:2 / Bonus - 2 free share for every 7 shares held.,5625000000,562500000,7232143000,723214300,58.75,45.7
Consumer Services,4290,Alkhaleej Training and Education Co.,04-04-2009,Bonus,2:1 / Bonus - 1 free share for every 2 shares held,100000000,10000000,150000000,15000000,54.5,36.3
Capital Goods,2320,Al-Babtain Power and Telecommunication Co.,03-31-2009,Bonus,2:1 / Bonus - 1 free share for every 2 shares held,270000000,27000000,405000000,40500000,61.25,40.8
Tadawul All Share Index (TASI),1040,Alawwal Bank,03-24-2009,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,2646000000,264600000,3307500000,330750000,42.8,34.2
Banks,1060,Saudi British Bank,03-10-2009,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,6000000000,600000000,7500000000,750000000,52,41.6
Capital Goods,2140,Al-Ahsa Development Co.,12-01-2008,Bonus,7:1 / Bonus - 1  free share for every 7 shares held,428750000,42875000,490000000,49000000,10.05,8.8
Energy,2030,Saudi Arabia Refineries Co.,11-30-2008,Bonus,1:1.5 / Bonus - 1.5  free share for every 1 share held,60000000,6000000,150000000,15000000,142,56.75
Telecommunication Services,7020,Etihad Etisalat Co.,10-19-2008,Right Issue,NA / RI at SAR 10,5000000000,500000000,7000000000,700000000,38,30
Real Estate Mgmt & Dev't,4300,Dar Alarkan Real Estate Development Co.,10-13-2008,Bonus,3:1 / Bonus - 1 free share for every 3 shares held,5400000000,540000000,7200000000,720000000,38.1,28.6
Consumer Services,4290,Alkhaleej Training and Education Co.,09-14-2008,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,80000000,8000000,100000000,10000000,81,64.75
Transportation,2190,Saudi Industrial Services Co.,08-24-2008,Right Issue,NA / RI at SAR 11.5,400000000,40000000,680000000,68000000,24,18.75
Materials,2210,Nama Chemicals Co.,07-26-2008,Right Issue,NA / RI at SAR 15,765000000,76500000,1285200000,128520000,26.25,21.75
Capital Goods,2370,Middle East Specialized Cables Co.,07-16-2008,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,320000000,32000000,400000000,40000000,110.75,88.5
Materials,2060,National Industrialization Co.,05-26-2008,Right Issue,NA / RI at SAR 18,3495735750,349573575,4606846860,460684686,46.25,39.5
Banks,1010,Riyad Bank,05-12-2008,Right Issue,NA / RI at SAR 15,6250000000,625000000,15000000000,1500000000,84.5,44
Consumer Durables & Apparel,4180,Fitaihi Holding Group,05-06-2008,Bonus,3.3478:1 / Bonus - 1 free share for every 3.3478 shares held,385000000,38500000,500000000,50000000,27.5,21.25
Banks,1060,Saudi British Bank,04-27-2008,Bonus,5:3 / Bonus - 3 free share for every 5 shares held,3750000000,375000000,6000000000,600000000,167,104.5
Food & Beverages,6010,National Agricultural Development Co.,04-22-2008,Bonus,2:1 / Bonus - 1 free share for every 2 shares held,400000000,40000000,600000000,60000000,64.5,43
Consumer Durables & Apparel,2340,Al Abdullatif Industrial Investment Co.,04-19-2008,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,650000000,65000000,812500000,81250000,69.75,55.75
Banks,1020,Bank Aljazira,04-16-2008,Bonus,3:1 / Bonus - 1 free share for every 3 shares held,2250000000,225000000,3000000000,300000000,53.5,40.25
Materials,2300,Saudi Paper Manufacturing Co.,04-12-2008,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,240000000,24000000,300000000,30000000,67.25,53.75
Materials,2220,National Metal Manufacturing and Casting Co.,04-07-2008,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,163561250,16356125,204451560,20445156,58,46.5
Materials,2020,Saudi Arabian Fertilizer Co.,04-07-2008,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,2000000000,200000000,2500000000,250000000,232,185.5
Materials,2010,Saudi Basic Industries Corp.,03-29-2008,Bonus,5:1 / Bonus - 1 free share for every 5 shares held,25000000000,2500000000,30000000000,3000000000,170.25,142
Food & Beverages,2050,Savola Group,03-25-2008,Bonus,3:1 / Bonus - 1 free share for every 3 shares held,3750000000,375000000,5000000000,500000000,47.25,35.5
Energy,4200,Aldrees Petroleum and Transport Services Co.,03-17-2008,Bonus,4:1 / Bonus - 1 free share for every 4 shares held,200000000,20000000,250000000,25000000,61,48.75
Banks,1080,Arab National Bank,03-16-2008,Bonus,7:3 / Bonus - 3 free shares for every 7 shares held,4550000000,455000000,6500000000,650000000,98.25,68.75
Banks,1030,Saudi Investment Bank,03-09-2008,Bonus,6.63:1 / Bonus - 1 free share for every 6.63 shares held,3910160000,391016000,4500000000,450000000,42.5,37
Banks,1090,Samba Financial Group,03-05-2008,Bonus,2:1 / Bonus - 1 free share for every 2 shares held,6000000000,600000000,9000000000,900000000,149,99.25
Consumer Services,4010,Dur Hospitality Co.,02-25-2008,Merger and Acquisition,NA / Acquisition,500000000,50000000,690060970,69006097,36,36
Banks,1120,Al Rajhi Bank,02-24-2008,Bonus,9:1 / Bonus - 1 free share for every 9 shares held,13500000000,1350000000,15000000000,1500000000,110.75,99.75
Materials,2250,Saudi Industrial Investment Group,02-05-2008,Right Issue,NA / RI at SAR 10,2250000000,225000000,4500000000,450000000,59,34.5
Materials,2310,Sahara International Petrochemical Co.,01-29-2008,Right Issue,NA / RI at SAR 15,2000000000,200000000,3333333330,333333333,54.25,38.5
Food & Staples Retailing,4061,Anaam International Holding Group,01-19-2008,Capital Reduction,NA / Capital Reduction,1200000000,120000000,109000000,10900000,16.5,181.75
Materials,3010,Arabian Cement Co.,12-04-2007,Right Issue,NA / RI at SAR 50,600000000,60000000,800000000,80000000,105,85
Materials,3010,Arabian Cement Co.,12-04-2007,Bonus,6:1 / Bonus one free share for every six shares held,600000000,60000000,800000000,80000000,105,85

